DateTime,AddedIPs,RemovedIPs
1528627322,4,0
1528628521,2,0
1528629126,2,55
1528629722,9,0
1528630563,71,0
1528630921,3,0
1528632722,1,0
1528633323,2,0
1528633922,1,0
1528634522,6,0
1528634883,64,55
1528635792,1,1
1528636563,0,55
1528636922,2,0
1528638122,7,0
1528638482,85,0
1528638722,13,0
1528639332,14,1
1528640522,3,0
1528640883,0,73
1528641722,6,0
1528642323,61,0
1528642922,3,0
1528642991,0,1
1528644722,61,63
1528645322,3,0
1528645922,1,0
1528646163,0,57
1528646532,3,0
1528647722,2,0
1528648082,74,0
1528648922,6,0
1528650192,1,3
1528651322,5,0
1528651922,62,14
1528652521,4,0
1528653791,5,0
1528654323,0,122
1528655763,69,0
1528656122,1,1
1528657322,25,0
1528657391,0,1
1528658522,24,1
1528659603,77,17
1528659721,8,0
1528660082,17,56
1528660932,5,1
1528661523,0,83
1528662121,6,0
1528663443,95,0
1528663923,0,64
1528664592,6,3
1528666804,135,61
1528666922,7,0
1528668192,1,0
1528668964,8,90
1528669321,1,0
1528669922,1,0
1528670883,106,0
1528671121,4,0
1528671794,2,1
1528672804,52,185
1528672921,7,0
1528674122,2,0
1528674722,83,0
1528675322,5,0
1528675922,8,0
1528676643,58,9
1528677122,1,1
1528677722,1,0
1528678321,3,0
1528678569,0,156
1528680122,6,0
1528680781,3,0
1528681322,12,0
1528682418,74,0
1528682533,13,0
1528683122,2,0
1528683722,4,0
1528684324,75,8
1528684922,9,0
1528686244,83,133
1528686722,8,0
1528687322,3,0
1528688522,2,0
1528689122,3,0
1528689722,5,0
1528689792,0,1
1528690322,5,0
1528690922,6,0
1528691522,4,0
1528692002,60,8
1528692122,2,0
1528693333,14,2
1528693923,0,179
1528694522,2,0
1528695121,3,0
1528695843,80,0
1528696992,9,3
1528698122,1,0
1528699321,2,0
1528699921,4,0
1528700532,5,0
1528701121,5,0
1528701604,115,94
1528701721,5,0
1528702322,1,0
1528702922,7,0
1528703522,1,66
1528704122,6,0
1528704193,3,2
1528704721,4,0
1528705444,70,58
1528706521,10,1
1528707122,3,3
1528707363,69,0
1528707721,4,0
1528707793,0,1
1528708921,3,0
1528709283,0,62
1528711221,64,0
1528711322,24,0
1528712174,0,44
1528712521,10,0
1528713124,89,1
1528713722,14,0
1528715042,59,12
1528716122,8,1
1528717322,13,0
1528718532,1,0
1528719122,7,0
1528719843,2,100
1528720802,74,0
1528720922,8,1
1528721521,1,0
1528722193,2,0
1528723322,1,0
1528724643,69,13
1528725616,0,96
1528725722,4,0
1528725733,0,1
1528726322,18,0
1528726566,63,0
1528726921,17,0
1528727521,15,0
1528728122,7,0
1528729321,15,0
1528729393,0,1
1528729921,2,0
1528730521,6,0
1528731181,6,0
1528731721,7,0
1528732562,74,20
1528734243,10,99
1528734964,81,0
1528735321,3,0
1528735921,3,0
1528736521,1,0
1528736593,0,1
1528737122,1,0
1528737721,15,0
1528739043,86,18
1528739522,3,0
1528740242,8,119
1528740722,4,2
1528741323,4,0
1528741922,2,0
1528742882,72,0
1528743721,1,0
1528743793,0,1
1528744922,2,0
1528746121,3,0
1528746722,65,12
1528747322,1,0
1528747922,0,144
1528748522,8,0
1528749181,3,0
1528749722,3,0
1528750818,74,0
1528750922,1,0
1528750994,0,4
1528752121,4,0
1528752723,62,13
1528753322,2,0
1528753922,3,137
1528754522,1,0
1528754593,0,2
1528756562,68,0
1528758121,3,0
1528759322,1,0
1528760403,69,18
1528760522,1,0
1528761614,18,93
1528761794,4,1
1528762922,4,0
1528763522,2,0
1528764242,76,13
1528764722,7,0
1528765442,1,158
1528765922,0,3
1528767722,3,0
1528768323,75,1
1528768994,8,3
1528771321,2,0
1528771922,2,0
1528772162,76,8
1528772533,0,1
1528773123,0,153
1528773722,1,1
1528774921,8,0
1528775522,4,0
1528776017,81,0
1528776122,5,0
1528776194,0,2
1528777926,56,10
1528777981,1,0
1528778521,1,0
1528779122,0,169
1528779722,4,1
1528779793,0,2
1528780922,12,0
1528781762,92,0
1528782121,7,0
1528782721,7,0
1528783394,0,5
1528784521,1,0
1528785121,2,0
1528785603,79,10
1528785722,1,0
1528786818,0,103
1528786993,5,4
1528788122,10,0
1528789321,0,1
1528790522,2,0
1528790597,0,1
1528791362,138,0
1528792922,5,0
1528794194,8,0
1528794482,12,51
1528795322,1,0
1528796404,0,69
1528796522,16,0
1528797123,57,2
1528797721,3,0
1528797737,0,3
1528798922,1,0
1528800242,65,50
1528800721,1,0
1528800963,0,64
1528801322,6,0
1528802522,4,1
1528804814,56,0
1528804922,1,0
1528804993,0,1
1528805521,14,0
1528806122,6,0
1528806722,60,8
1528807322,2,0
1528807923,8,48
1528808521,14,0
1528808654,1,2
1528809721,5,0
1528810562,59,19
1528810922,5,0
1528811521,2,0
1528811763,0,96
1528812722,10,0
1528813321,1,0
1528815362,75,0
1528816083,7,60
1528816922,2,0
1528817522,1,0
1528818122,11,0
1528819214,81,0
1528819394,8,1
1528820173,3,57
1528820522,1,0
1528821123,81,0
1528821722,4,0
1528822322,1,0
1528822994,2,2
1528824003,0,61
1528824121,3,0
1528824962,67,0
1528825322,2,0
1528827721,2,3
1528828322,16,2
1528828802,68,14
1528828922,1,0
1528829763,0,94
1528830194,3,0
1528830722,7,0
1528831322,1,0
1528832643,83,0
1528833722,3,0
1528833797,0,1
1528834921,3,1
1528835522,3,54
1528836484,74,1
1528836721,1,0
