DateTime,AddedIPs,RemovedIPs
1525285210,0,1
1525290491,6,4
1525309686,0,1
1525310172,1,0
1525311613,0,1
1525312334,1,0
1525339211,1,0
1525342571,0,1
1525343287,1,0
1525345454,1,0
1525350972,1,0
1525360332,0,1
1525376891,4,2
1525397054,0,1
1525397531,1,1
1525398245,2,1
1525398730,1,0
1525400171,0,1
1525403289,1,0
1525412889,1,0
1525416489,0,1
1525434966,1,0
1525438811,0,1
1525443606,1,0
1525455364,1,0
1525459694,0,1
1525461610,0,1
1525463046,2,5
1525464967,1,0
1525470490,0,1
1525475305,11,0
1525485133,0,1
1525486570,0,1
1525487055,0,1
1525488484,0,1
1525488967,1,0
1525489926,0,1
1525490888,1,0
1525491851,0,1
1525492327,0,1
1525492820,0,3
1525494246,0,2
1525495212,0,2
1525495688,0,1
1525496653,0,1
1525497606,0,1
1525498569,0,2
1525499052,0,2
1525499526,0,1
1525500488,0,1
1525500972,0,1
1525501931,0,3
1525502406,0,1
1525503365,0,2
1525504330,0,1
1525504805,1,1
1525505290,0,1
1525506971,0,1
1525507449,0,1
1525507925,0,1
1525511770,0,1
1525512245,1,0
1525522330,0,1
1525529772,1,0
1525544887,0,1
1525549687,5,6
1525589048,0,2
1525590488,2,0
1525607074,1,0
1525608969,1,0
1525609930,1,0
1525620728,1,0
1525624808,0,1
1525628649,1,0
1525633225,0,1
1525635847,3,3
1525692487,1,0
1525694423,2,0
1525695373,1,0
1525717207,0,1
1525722491,3,3
1525733293,1,0
1525735686,0,1
1525742172,8,0
1525742645,4,0
1525743130,2,0
1525743608,5,0
1525744093,1,0
1525744565,7,0
1525745049,1,0
1525745526,3,0
1525761369,1,0
1525764727,0,1
1525775047,1,0
1525780571,1,0
1525784411,1,0
1525785366,1,0
1525788020,0,1
1525792570,1,0
1525793536,1,0
1525800733,0,1
1525801688,1,0
1525808889,4,2
1525828328,0,3
1525828807,0,5
1525829285,0,14
1525829768,0,5
1525830245,0,4
1525840805,1,0
1525844169,0,1
1525864085,0,1
1525866248,1,0
1525867936,1,0
1525869131,0,1
1525869629,3,0
1525872011,1,0
1525877050,1,0
1525889772,0,1
1525895048,1,3
1525913549,4,0
1525956730,1,0
1525958647,1,0
1525968015,1,0
1525969218,2,0
1525976170,0,1
1525981446,2,1
1526001402,2,0
1526003764,1,0
1526010727,0,1
1526034010,1,0
1526039289,1,0
1526043131,1,0
1526045054,2,0
1526059691,0,1
1526067848,0,4
1526088744,3,0
1526092568,0,1
1526093050,1,0
1526100728,1,0
1526124006,1,0
1526129532,2,0
1526132427,3,0
1526140814,0,1
1526145132,1,0
1526148969,0,1
1526154245,6,2
1526165287,1,0
1526169131,0,1
1526176335,2,4638
1526214259,42,805
1526220029,806,1
1526226728,1,0
1526237287,0,1
1526240647,134,0
1526240788,3790,0
1526244490,1,0
1526252424,0,1
1526260087,2,0
1526260568,4,0
1526261046,5,0
1526261526,3,0
1526262007,4,0
1526262488,4,0
1526262966,3,0
1526263445,4,0
1526263953,1,0
1526269689,1,0
1526303286,2,0
1526307681,1,1
1526308838,673,0
1526309515,0,0
1526327052,4,4
1526327525,0,2
1526328016,2,0
1526334727,1,0
1526345066,1,0
1526348405,1,1
1526354167,0,1
1526367131,1,0
1526372165,1,0
1526372197,2,0
1526374329,1,0
1526376245,0,1
1526376729,1,0
1526381533,1,0
1526384893,0,1
1526385365,1,0
1526387062,1,0
1526389687,1,0
1526391129,1,0
1526392091,1,0
1526393054,1,0
1526399196,2,0
1526401445,4,1
1526406728,1,0
1526408168,0,2
1526408887,2,0
1526411289,1,1
1526413690,3,3
1526416334,1,0
1526420408,0,1
1526427129,1,0
1526430009,0,1
1526433371,2,0
1526434805,1,0
1526440570,0,1
1526445851,1,0
1526451126,0,1
1526457367,1,0
1526461686,0,1
1526462170,1,0
1526462644,0,1
1526469375,209,333
1526472729,1,0
1526476106,2,0
1526476590,1,0
1526478488,3,0
1526493130,1,0
