DateTime,Entries,UniqueIPs
1528593813,5769,5769
1528594532,5768,5768
1528595492,5760,5760
1528596452,5760,5760
1528597171,5757,5757
1528597893,5752,5752
1528598613,5749,5749
1528599333,5745,5745
1528600293,5747,5747
1528601013,5748,5748
1528602214,5742,5742
1528602935,5730,5730
1528603653,5726,5726
1528604378,5722,5722
1528605092,5722,5722
1528606052,5722,5722
1528606773,5723,5723
1528607492,5728,5728
1528608212,5723,5723
1528608934,5717,5717
1528609892,5716,5716
1528610851,5714,5714
1528611572,5714,5714
1528612171,5712,5712
1528612772,5712,5712
1528613492,5712,5712
1528614212,5706,5706
1528614932,5706,5706
1528615652,5704,5704
1528616612,5707,5707
1528617332,5710,5710
1528618030,5714,5714
1528618773,5711,5711
1528619491,5713,5713
1528620212,5715,5715
1528620932,5714,5714
1528621651,5711,5711
1528622371,5709,5709
1528623092,5705,5705
1528623812,5702,5702
1528624532,5701,5701
1528625253,5706,5706
1528625972,5708,5708
1528626692,5708,5708
1528627412,5710,5710
1528628133,5711,5711
1528629092,5700,5700
1528629811,5699,5699
1528630532,5700,5700
1528631252,5699,5699
1528632451,5699,5699
1528633172,5702,5702
1528633891,5704,5704
1528634613,5683,5683
1528635332,5682,5682
1528636052,5680,5680
1528637012,5676,5676
1528637732,5676,5676
1528638452,5675,5675
1528639172,5675,5675
1528639892,5671,5671
1528640612,5668,5668
1528641332,5670,5670
1528642051,5672,5672
1528642771,5666,5666
1528643492,5669,5669
1528644212,5667,5667
1528644933,5660,5660
1528645652,5651,5651
1528646372,5651,5651
1528647091,5647,5647
1528647812,5648,5648
1528648532,5647,5647
1528649493,5642,5642
1528650452,5631,5631
1528651172,5635,5635
1528651892,5615,5615
1528652612,5613,5613
1528653333,5615,5615
1528654291,5617,5617
1528655012,5615,5615
1528655733,5612,5612
1528656453,5610,5610
1528657172,5606,5606
1528657891,5606,5606
1528658612,5609,5609
1528659332,5607,5607
1528660051,5605,5605
1528660772,5605,5605
1528661492,5605,5605
1528662212,5598,5598
1528662932,5591,5591
1528663892,5577,5577
1528664852,5566,5566
1528666772,5566,5566
1528667491,5562,5562
1528668452,5558,5558
1528669412,5552,5552
1528670372,5550,5550
1528671333,5552,5552
1528672052,5557,5557
1528672773,5541,5541
1528673492,5545,5545
1528674212,5543,5543
1528674932,5535,5535
1528675651,5535,5535
1528677572,5530,5530
1528678291,5528,5528
1528678950,5527,5527
1528679733,5481,5481
1528680452,5480,5480
1528681172,5485,5485
1528681891,5486,5486
1528682852,5482,5482
1528683572,5478,5478
1528684292,5471,5471
1528685012,5472,5472
1528686212,5467,5467
1528686932,5467,5467
1528687628,5460,5460
1528688373,5460,5460
1528689091,5456,5456
1528689813,5457,5457
1528690531,5454,5454
1528691492,5452,5452
1528692212,5449,5449
1528692932,5448,5448
1528693653,5441,5441
1528694372,5440,5440
1528695092,5439,5439
1528695811,5433,5433
1528696532,5427,5427
1528697252,5421,5421
1528697971,5421,5421
1528698691,5421,5421
1528699412,5411,5411
1528700131,5412,5412
